pose_x,pose_y,pose_z
5.73709,0.177099839,-4.769764
5.73709,0.177099839,-4.769764
5.73709,0.177099839,-4.769764
5.73709,0.177099839,-4.769764
5.73709,0.177099839,-4.769764
5.73709,0.177099839,-4.769764
5.73709,0.177099839,-4.769764
5.73709,0.177099839,-4.769764
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.01572378,0.02208659,0.03392797
0.0251237527,0.019546831,0.03039713
0.01845946,0.0302885585,0.02237984
0.0158476289,0.048035726,0.00733488053
0.0130997878,0.0615746453,-0.004593674
0.0112431552,0.06915386,-0.0107873231
0.011254048,0.07273434,-0.0140190236
0.0115000252,0.0770084,-0.0183725525
0.0110447276,0.07902126,-0.02206625
0.0116482265,0.0769996345,-0.0209664926
0.011831902,0.0749575645,-0.01900449
0.0120058376,0.07254891,-0.01687461
0.0128044505,0.07074453,-0.01637965
0.0141794775,0.07044111,-0.0161747523
0.0154495295,0.06872815,-0.0154983373
0.0155235361,0.0638478249,-0.009401685
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.005614646,0.0701411963,-0.0121546034
-0.001917772,0.0722011849,-0.0126012638
0.007854156,0.0505814664,-0.04950485
0.04440701,0.08981004,0.0304569248
0.0488796346,0.07100187,0.006615555
0.06367476,0.07736169,0.005448565
0.05349634,0.07881524,0.00116393156
0.0472997874,0.07108499,0.00162345544
0.03834512,0.07211617,0.00232007261
0.03097146,0.0732579,0.004813783
0.0211387239,0.07550983,0.006832164
0.0185386017,0.07322705,0.006833654
0.0133953989,0.07791026,0.0106295366
0.013658952,0.07504162,0.01178183
0.009725438,0.07733575,0.0137774777
0.0154344719,0.072651796,0.0149071235
0.0297665633,0.07226743,0.0106387809
0.027084209,0.0794300139,0.0196517669
0.0279240776,0.07717608,0.0207256954
0.0537972078,0.07888113,0.0201823562
0.0512259863,0.07697882,0.0282314364
0.0482110642,0.06563329,0.0426362157
0.0398985557,0.049271442,0.06383635
0.0250277,0.0394553952,0.0829289556
0.00247493759,0.0506165773,0.101304688
-0.0249568075,0.0618101731,0.107392773
-0.0483813658,0.0859228149,0.101178288
-0.06390726,0.105877861,0.088695325
-0.08107362,0.128679365,0.0684598461
-0.09558794,0.150158718,0.04223607
-0.105963908,0.1663578,0.0150544178
-0.109764338,0.171290725,0.000166002661
-0.101104051,0.1666286,0.00273104012
-0.04101047,0.1408822,0.05169087
0.0318337046,0.105045289,0.1067664
0.134296283,0.08580991,0.135127917
0.21141088,0.0595153421,0.1559796
0.299612164,0.0400307328,0.138888091
0.355368465,0.0380722657,0.132172838
0.381855577,0.0440872423,0.136565328
0.377390325,0.05275874,0.159384623
0.362231851,0.0508778356,0.196415961
0.35380733,0.0346336477,0.240801841
0.356202424,0.0249714237,0.26259017
0.366437674,0.0304739885,0.260439068
0.431426138,0.0165810417,0.283103883
0.5048931,0.0024533812,0.301925242
0.580750763,-0.0129999239,0.324877053
0.642604053,-0.0230796635,0.3450852
0.6821765,-0.0303800944,0.375659347
0.708834,-0.0465324521,0.431278467
0.738542557,-0.0585846528,0.452505261
0.7858455,-0.07661286,0.480399162
0.8377214,-0.09058428,0.515510559
0.889172733,-0.09815302,0.539710462
0.932597,-0.106320709,0.5703096
1.00520062,-0.120797835,0.6176542
1.09487963,-0.132238552,0.667314053
1.16124022,-0.142735,0.710732937
1.21497583,-0.1531706,0.760643244
1.29624867,-0.151755482,0.7657544
1.3694129,-0.1416843,0.7645353
1.465503,-0.142227665,0.776288867
1.55107713,-0.155471921,0.8232395
1.60696483,-0.164996609,0.8742554
1.660958,-0.172219038,0.9327191
1.739025,-0.177659035,0.978378
1.85216832,-0.188884363,1.01639915
1.95773447,-0.202931911,1.06228769
2.04215813,-0.21943827,1.13645077
2.13749528,-0.233994409,1.20144784
2.23720145,-0.248423189,1.2668798
2.27158165,-0.2534996,1.28948569
1.95891869,-0.197702423,1.06133866
1.95117652,-0.1980818,1.05420446
1.95110369,-0.162007451,0.985408068
1.97647476,-0.179425418,0.94947356
1.98463082,-0.198182389,0.9804813
1.96367931,-0.200283259,1.0378747
1.95757341,-0.203849286,1.05001163
1.9472611,-0.204848468,1.05245924
1.93064988,-0.207133532,1.0608815
1.90962875,-0.208722085,1.069169
1.88551438,-0.205835909,1.07722163
1.85715842,-0.197423235,1.08625734
1.818521,-0.195020765,1.09333253
1.779413,-0.195260853,1.09860718
1.73873413,-0.197616592,1.11059737
1.695695,-0.200767323,1.124685
1.647759,-0.203132719,1.13877678
1.59420216,-0.205448329,1.152776
1.53617609,-0.208292946,1.16901672
1.47455788,-0.211941972,1.1891427
1.412938,-0.2144888,1.2052151
1.3450433,-0.218561813,1.21987939
1.2754544,-0.22014524,1.2307688
1.19530618,-0.21831432,1.242383
1.11456525,-0.229264855,1.2791127
1.02232778,-0.224385545,1.29954469
0.9257393,-0.225556076,1.33776581
0.8224698,-0.225695759,1.385718
0.7286496,-0.213477284,1.45594752
0.641374469,-0.213313818,1.529603
0.5448628,-0.194485158,1.56141567
0.446128637,-0.151846,1.506786
0.356890082,-0.125416055,1.47930181
0.249460533,-0.1247776,1.48316061
0.1326913,-0.117889911,1.50912666
0.015753,-0.120626517,1.54604208
-0.00578194857,-0.119801573,1.55229723
0.144191876,-0.130551144,1.5145551
0.142380714,-0.130488425,1.51097584
0.141914472,-0.131664053,1.51780415
0.1391168,-0.131097317,1.51722407
0.135521665,-0.131113634,1.51920259
0.132144809,-0.131016523,1.51993668
0.132627726,-0.130565554,1.51881874
0.1316674,-0.130777568,1.51957214
0.131463945,-0.131282762,1.51987123
0.131009772,-0.13138172,1.52027845
0.1312693,-0.1313692,1.5208236
0.132083237,-0.131648362,1.52129269
0.0282697119,0.02226654,0.0384144746
0,0,0
0.0282741059,0.0224109,0.03832363
0.0282546636,0.0224793255,0.03827958
0.0282580238,0.0218349043,0.0386680476
0.0286536515,0.0204337761,0.03918148
0.0289396532,0.0204698369,0.039762076
0.0320216976,0.0198481567,0.0388824455
0.0322579145,0.0198726449,0.0387193523
0.0308856815,0.0195374284,0.0393113419
0.0271383375,0.0186434016,0.04043118
0.0146091133,0.0187213272,0.04201858
0.00576985441,0.0183782913,0.0441775024
0.00207995437,0.0179315414,0.044625245
-0.00130633079,0.0173895843,0.0447268635
5.222112E-05,0.0183599144,0.04274903
0.00171867013,0.0217323676,0.0383133963
0.004013028,0.0230458081,0.0379276276
0.004102381,0.02611093,0.0343255848
0.00277658179,0.0287627876,0.0324675851
-0.0004036855,0.03064342,0.0305735487
-0.00415127166,0.031324476,0.0303271748
-0.00707230344,0.0318504237,0.0302340239
-0.00640588254,0.0323425457,0.0305673517
-0.0051839184,0.03148322,0.03092788
-0.00248682871,0.03106562,0.0310034864
0.0009304099,0.0311719887,0.0304506626
0.005001398,0.03085448,0.030145932
0.0102364793,0.0299509577,0.0297317356
0.0153567381,0.0292421952,0.0294537414
0.0175405722,0.02937415,0.0289052725
0.01923434,0.0298701189,0.0276647434
0.0193658173,0.0298677348,0.0276028588
0.0195461921,0.02960441,0.02782563
0.0177276675,0.0296766236,0.0282949191
0.0150969261,0.02999411,0.028621681
0.0147119919,0.0302178748,0.0284121484
0.0156195937,0.0300968066,0.0283461343
0.01594752,0.0298461113,0.0285166465
0.0152662173,0.0298221838,0.0288046412
0.0146032386,0.0296049267,0.029206505
0.0148117114,0.0291675087,0.02954945
0.01536881,0.02905918,0.029529117
0.0157782715,0.0292652547,0.029205313
0.0162213761,0.0296109226,0.0289582275
0.0163756274,0.0304947235,0.028123185
0.0166840591,0.030709561,0.0272639524
0.0185358226,0.0304716341,0.0264137648
0.0199043583,0.0288414452,0.0272457879
0.0193989985,0.0291257668,0.027125733
0.0175342187,0.03101598,0.0259152036
0.0172788054,0.03224031,0.02495013
0.01865143,0.0323922373,0.0243103281
0.0191045813,0.03201805,0.0243056081
0.0181033444,0.0324609354,0.0239334516
0.0177246667,0.0322121345,0.02452597
0.018046312,0.0310231633,0.0255239122
0.0186375529,0.0313857645,0.0248968378
0.0185885932,0.0308185276,0.02537255
0.0189902689,0.0313318,0.0248611439
0.01950143,0.0324442275,0.0236677341
0.0195513554,0.0319804549,0.0241470709
0.0196690969,0.0325636454,0.023532398
0.0194187518,0.0333827622,0.0229815971
0.0118588116,0.0331263244,0.02516742
-0.006304864,0.0337949246,0.02885695
-0.0289518721,0.0364938676,0.02992391
-0.0465488955,0.0404870138,0.02755115
-0.0587595776,0.04402675,0.0244401358
-0.0678949952,0.04668471,0.0220710486
-0.077804476,0.04855295,0.0203785449
-0.0858998448,0.0504826829,0.0179288741
-0.0888133049,0.05175521,0.0165721513
-0.08605709,0.0532906353,0.01479817
-0.0815105,0.0537410378,0.0143032167
-0.07426183,0.0543874577,0.0138927381
-0.06508837,0.05488429,0.0131657831
-0.0536211543,0.0548874438,0.0127554
-0.03923873,0.0543914437,0.011796331
-0.0283287317,0.05207712,0.0127242878
-0.019144984,0.05146919,0.0114500355
-0.014902031,0.0510226339,0.0110119395
-0.0174771287,0.05046381,0.0118958671
-0.0211486313,0.0481745042,0.0146483406
-0.0230388,0.0469443761,0.0167513173
-0.0240394678,0.0442031622,0.0196106955
-0.0218845122,0.0423998237,0.02147511
-0.015254328,0.0417975076,0.0210461989
-0.0127207,0.0413051546,0.02089979
-0.0148497745,0.0401861966,0.02224553
-0.0154028572,0.0411073528,0.02161251
-0.0146304667,0.042287,0.0203225166
-0.0138936881,0.0420135,0.0204131454
-0.0134471375,0.0422594175,0.0198756158
-0.0137007013,0.04279626,0.0195996743
-0.0139343608,0.04285758,0.0194033757
-0.0150355641,0.04314773,0.0193488188
-0.018520724,0.0437254459,0.01938508
-0.0249251537,0.04584434,0.0183370784
-0.0286930129,0.04635998,0.0183914881
-0.0233472679,0.0470007844,0.01712404
-0.0145078413,0.0451008677,0.0173882023
-0.009031683,0.04123205,0.0204263255
-0.01038916,0.03612088,0.0256913938
-0.0144962966,0.03393086,0.02879793
-0.0192528367,0.03303333,0.0303337537
-0.0222661719,0.029241683,0.0348395035
-0.0206930321,0.0157048,0.0471157022
-0.01532986,0.00367081724,0.05689425
-0.009076834,-0.00016391091,0.0595643744
-0.00566286966,-0.00275733881,0.0609551258
-0.00137942657,-0.00271653943,0.0597471558
0.002714796,-0.00340360962,0.0595558248
7.08792359E-05,0.00143253244,0.0557348952
-0.00287940726,-0.000227393582,0.05676372
-0.000430319458,-0.001596516,0.0578049347
0,0,0
0.036161866,0.0391727835,0.007498403
0.03606043,0.0391323045,0.008004475
0.03626959,0.0392090157,0.00702562975
0.03586015,0.03901367,0.00931994
0.037079867,0.04002311,0.00294826971
0.03641171,0.03978712,0.00463165063
0.03598715,0.03968553,0.004472077
0.03491929,0.03912349,0.004396456
0.0347735621,0.0390490331,0.004550468
0.03525724,0.03899652,0.003532608
0.0363546647,0.0394485556,0.00342649478
0.03598145,0.0392254032,0.004105084
0.0366375521,0.03924682,0.00388434855
0.03602474,0.03911663,0.003972574
0.03658948,0.03899189,0.00290422258
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0364813134,0.03952549,0.004021703
0.036625538,0.03921902,0.00358728645
0.03587346,0.0440534428,0.00774664339
0.03622354,0.0429113,0.0062491484
0.0370614752,0.04155378,0.003204305
0.038155023,0.03988638,-3.17418E-05
0.0392930657,0.03833835,-0.00361859286
0.0407163426,0.03624288,-0.008282799
0.04146979,0.03592602,-0.0100148208
0.04312911,0.0338778533,-0.0146256052
0.04397829,0.03290411,-0.01737461
0.044724483,0.0316931568,-0.0205157269
0.0438485,0.03291387,-0.0170229
0.0452676453,0.03113153,-0.0210306216
0.0438036,0.0330260657,-0.01671117
0.04506967,0.03160311,-0.0207065977
0.0430611558,0.03393209,-0.0145935584
0.04418644,0.0328364559,-0.0178970862
0.042578958,0.0345253721,-0.0131845679
0.0435306542,0.0335789248,-0.01589936
0.04167083,0.0354170576,-0.010754101
0.04224373,0.03466766,-0.012336703
0.0409497842,0.0361819677,-0.008296784
0.04075236,0.0363680646,-0.007570831
0.0406853072,0.0363475941,-0.0074457447
0.0411005542,0.0359388068,-0.00885931
0.0403784923,0.0366363674,-0.00700634345
0.03993796,0.0371132977,-0.005831565
0.0379418358,0.0390890725,-0.000156804919
0.0382380448,0.03890279,-0.001011909
0.03761338,0.0397253931,0.00169275887
0.0376590267,0.0397463068,0.00199620216
0.03910147,0.0380215049,-0.00315919239
0.03916502,0.0378937647,-0.00372989662
0.0388099439,0.0385940075,-0.002530599
0.0387710519,0.03862023,-0.002797552
0.03849461,0.0387699,-0.00203889329
0.03849557,0.03869117,-0.00204538135
0.0378848352,0.0390500948,3.78051773E-05
0.0378219038,0.0389763266,0.000464411452
0.03831785,0.03861853,-0.000789981335
0.03816242,0.0386684,-0.0003905492
0.03728161,0.03974875,0.00210297341
0.03694496,0.0399654247,0.003027649
0.03676852,0.0404474176,0.00367896468
0.036432717,0.0407163,0.00512607349
0.0369151831,0.04034631,0.00357377576
0.03655094,0.0407007523,0.004720649
0.0359749943,0.04124854,0.00558575476
0.0355252065,0.0416549221,0.00661382126
0.0349160619,0.0421669073,0.008459
0.034332145,0.0426608175,0.009950019
0.0341571942,0.04283597,0.0109801413
0.03355483,0.04333242,0.0131382644
0.0334424861,0.0434821174,0.0134656448
0.0331086852,0.0439100228,0.01390298
0.03237501,0.0445786,0.015531336
0.031929493,0.04505936,0.0179627053
0.0326795764,0.04415982,0.0151826032
0.031704668,0.0448924266,0.0170997865
0.0320702121,0.0448013246,0.01635082
0.0311680511,0.04562274,0.0184965916
0.03185912,0.0450328663,0.0165948384
0.0311859939,0.04583204,0.01820146
0.03155145,0.0456390977,0.0168521125
0.0308884848,0.0463815257,0.020115504
0.03158189,0.0462461561,0.0193535667
0.0315125249,0.0464860648,0.0216585845
0.0336656868,0.0449131876,0.0232383739
0.0336485431,0.0456204228,0.0243536923
0.03399282,0.04599764,0.0227743164
0.0348289,0.04589873,0.0221576989
0.0356594659,0.0457686745,0.0221522674
0.03568774,0.0462152734,0.02443846
0.0364340432,0.04575851,0.02409225
0.0365045853,0.0462531224,0.02607983
0.0375087559,0.04565283,0.0239987671
0.0377156362,0.0460168347,0.02544388
0.0396365635,0.0450560637,0.02283629
0.0397429,0.0452795029,0.0268897563
0.04054687,0.0455530733,0.02718853
0.0412295945,0.0457820334,0.029688254
0.04300835,0.04584398,0.0297889821
0.0440740772,0.04600221,0.0336813778
0.0446781069,0.0439185463,0.0299800783
0.04522019,0.0438615978,0.03310476
0.0463792756,0.043022085,0.033614587
0.0469198972,0.042879533,0.03559018
0.04747305,0.0427975841,0.036147356
0.04822548,0.04254852,0.0405293144
0.0482001081,0.0410327241,0.03858515
0.0492052138,0.0405483469,0.04162928
0.0496525429,0.0398475155,0.0405906662
0.0505018532,0.03932058,0.0443391874
0.0518738776,0.0394790173,0.04461725
0.0531577542,0.03906007,0.05018097
0.05337326,0.0387034342,0.0473999046
0.0551598035,0.0381528176,0.051631555
0.0530912429,0.03978546,0.0520933568
0.0535664856,0.0394932441,0.0535016544
0.05290045,0.03978049,0.04491269
0.0540363826,0.03943452,0.0398176834
0.04825645,0.03610425,-0.008060269
0.0479567759,0.03602446,-0.0196847
0.0468208343,0.0353062376,-0.04402131
0.04767091,0.0348727852,-0.06051991
0.04657965,0.0368674845,-0.065578416
0.04657965,0.0368674845,-0.065578416
0.0463899635,0.03688849,-0.08605151
0.0456180535,0.03812634,-0.0899447054
0.04576766,0.0378642119,-0.102713689
0.0447371,0.03852812,-0.110562958
0.0447639823,0.0381570347,-0.123272389
0.0439182743,0.0383431539,-0.134569779
0.0432265,0.03810461,-0.1454746
0.0425562821,0.0385178961,-0.1543917
0.0424440056,0.0385141745,-0.15581
0.0416382253,0.0384129621,-0.163251355
0.04149243,0.0388649,-0.167076364
0.0407796949,0.03887554,-0.175185472
0.04040059,0.0393550545,-0.176048562
0.04023742,0.0391839556,-0.1835831
0.0391676761,0.0397268124,-0.1869435
0.0379502,0.0395787433,-0.193720564
0.0394231863,0.0387999266,-0.206902042
0.0403352529,0.0382071473,-0.2198555
0.0396953374,0.0369745977,-0.237254828
0.039103847,0.03641838,-0.2432551
0.0394832976,0.0361648723,-0.250707418
0.0382574759,0.0360165276,-0.260380328
0.0374318548,0.0365221277,-0.2656637
0.03678533,0.0377305746,-0.265007615
0.0374028571,0.0373335555,-0.2759405
0.0368538573,0.03806981,-0.28172034
0.0366422869,0.03775158,-0.29367578
0.03611509,0.0375432745,-0.2988919
0.0355821,0.03726074,-0.309297
0.0354968831,0.03722106,-0.321921945
0.03631309,0.03800691,-0.324402124
0.03668381,0.0380650163,-0.3344527
0.0370253921,0.0390610322,-0.3304581
0.0369188637,0.0391634256,-0.337944448
0.03619659,0.0391290151,-0.3399111
0.03619659,0.0391290151,-0.3399111
0.035886962,0.0391488262,-0.34580344
0.0344795026,0.0388509743,-0.350055933
0.03461145,0.0386456326,-0.3556163
0.0345353223,0.038069617,-0.362002075
0.0343596078,0.0373217463,-0.367901385
0.0344267339,0.0366185047,-0.37554872
0.034158282,0.0363292843,-0.379665017
0.03386994,0.0357509851,-0.39223218
0.033929266,0.0353795178,-0.39912945
0.03406519,0.03530189,-0.402343363
0.0336867347,0.0349090435,-0.4105416
0.03418871,0.0345897749,-0.4178567
0.03406992,0.0344973356,-0.425272971
0.03281042,0.03428922,-0.432751238
0.031773597,0.03460989,-0.4370391
0.0315206423,0.0342934653,-0.443074048
0.03198404,0.0342476554,-0.4488515
0.03198404,0.0342476554,-0.4488515
0.0316942371,0.033872325,-0.453204125
