pose_x,pose_y,pose_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.029655328,0.02392122,0.0303965211
0.0297795869,0.0249424931,0.0308722518
0.0289344154,0.0241923165,0.02689659
0.02970234,0.0226665679,0.0252476521
0.0293882154,0.0176987015,0.0174721964
0.0286796764,0.0180770587,0.0121951737
0.0271540843,0.0153438477,0.0066619236
0.02422053,0.0115964655,0.0008658543
0.0209292471,0.008721898,-0.0051648207
0.0192420967,0.0110744908,-0.01262467
0.02432729,0.0147353988,-0.015793303
0.0233365,0.0327063426,-0.0222330838
0.0231130533,0.06278722,-0.00494624861
0.0145499557,0.0839228258,-0.00763768144
0.00213540532,0.09811912,-0.01237778
-0.0142374,0.107531644,-0.0202223677
-0.03358737,0.110664785,-0.0257929545
-0.0560419373,0.110214658,-0.0315345973
-0.07921057,0.107574306,-0.03668841
-0.106787078,0.1045593,-0.0440298244
-0.140518814,0.09803044,-0.0484782
-0.177130282,0.08880897,-0.0545428172
-0.216348,0.07569332,-0.0620077178
-0.258715957,0.07528849,-0.07106424
-0.293230236,0.0571793765,-0.07804205
-0.333635867,0.03127099,-0.08717896
-0.3675182,0.005349068,-0.09310289
-0.3980335,-0.0192279238,-0.0978867859
-0.3980335,-0.0192279238,-0.0978867859
-0.3980335,-0.0192279238,-0.0978867859
-0.3980335,-0.0192279238,-0.0978867859
-0.3980335,-0.0192279238,-0.0978867859
-0.3980335,-0.0192279238,-0.0978867859
-0.3980335,-0.0192279238,-0.0978867859
-0.3980335,-0.0192279238,-0.0978867859
