pose_x,pose_y,pose_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0389556028,-0.0558463335,0.06557356
0.0386825874,-0.05599283,0.06385939
0.0339952,-0.06194382,0.06646412
0.0332798027,-0.0633159,0.06416325
0.0312181078,-0.06819501,0.06605926
0.0288278311,-0.0752671957,0.06761714
0.0260530487,-0.08458379,0.06742348
0.0247332156,-0.09344925,0.0695770755
0.0246518254,-0.09533216,0.06784324
0.0249753464,-0.09644468,0.06637618
0.0258440729,-0.100296944,0.07066792
0.0313918479,-0.104139991,0.08136226
0.03788466,-0.104345851,0.09392022
0.0467913449,-0.09872146,0.110759027
0.0536707565,-0.0826005,0.116537482
0.05508417,-0.06535297,0.108372211
0.0560922921,-0.0529806,0.09456883
0.0601263978,-0.0401094928,0.07890798
0.06371346,-0.0264413059,0.06313895
0.06511122,-0.0077929087,0.0468659326
0.06642287,0.00438678637,0.03613369
0.06874153,0.0141012482,0.0289248824
0.07514377,0.02339969,0.02350874
0.07650936,0.0200753771,0.0236511
0.07342063,0.0105615109,0.0305834673
0.0702637658,-0.001925867,0.040241655
0.06487602,-0.0169018432,0.05028746
0.05859398,-0.03549353,0.05776577
0.05492857,-0.05472998,0.0703316852
0.0514712371,-0.07290462,0.079076454
0.0470336229,-0.08390005,0.07757622
0.04195836,-0.09019656,0.0725527555
0.0352775231,-0.09367881,0.064215444
0.0311260633,-0.09188235,0.0576867536
0.02799575,-0.0888033,0.0525483228
0.0266462415,-0.08378997,0.0484491
0.0269962568,-0.0803508461,0.0477137826
0.0287713464,-0.07822764,0.04935551
0.03152384,-0.07574342,0.0523531437
0.0355834775,-0.07455233,0.0573782735
0.039992433,-0.07475716,0.06336075
0.0438330546,-0.07554329,0.0685846061
0.04721784,-0.07659319,0.07299642
0.0506852679,-0.0787776858,0.07802008
0.05176574,-0.083586,0.08177107
0.0513827354,-0.08764544,0.08291274
0.0503041744,-0.08997761,0.08349241
