pose_x,pose_y,pose_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.0111739375,0.0219726544,0.04380713
-0.0300651267,0.0208672434,0.0513400175
-0.0491748378,0.0106692947,0.0447196737
0.0526690036,0.143116474,0.01493202
0.04823701,0.145742685,0.0147180222
-0.0577112362,0.203439191,0.004867427
-0.108360253,0.2254487,-0.00364645757
-0.128176764,0.2317154,-0.00360812247
-0.138769567,0.228893012,0.00164854527
-0.1450054,0.227106616,0.008474782
-0.15293166,0.230913565,0.0138723217
-0.155769542,0.237082422,0.0162678063
-0.154621884,0.240697831,0.0190878939
-0.1613122,0.245898053,0.0189066529
-0.176304013,0.2489855,0.016938068
-0.18046248,0.2499939,0.017622605
-0.176415622,0.241880447,0.0230905265
-0.165952489,0.232234135,0.0233446769
-0.157096311,0.2274257,0.0197939388
-0.15644151,0.212201253,0.0237094
-0.170979023,0.219175249,0.0288344286
-0.198376834,0.2303483,0.03283963
-0.231146455,0.240378559,0.0193451531
-0.28958708,0.246483162,0.00351928547
-0.3241021,0.259615034,-0.001738742
-0.363131285,0.268510222,-0.00460863858
-0.396511853,0.2718896,-0.00504596531
-0.413865656,0.274392277,-0.0145682059
-0.4036322,0.274032056,-0.03251652
-0.3587289,0.270085126,-0.0473410338
-0.341795683,0.267329067,-0.0511132181
-0.3130793,0.270108432,-0.05212561
-0.3018693,0.274649471,-0.05186166
-0.293366522,0.279497117,-0.05092413
-0.269049078,0.271825641,-0.0527943149
-0.261739254,0.2651841,-0.04919586
-0.26067248,0.2591558,-0.04499841
-0.264423132,0.253876835,-0.0428253859
-0.266150415,0.2514457,-0.04162061
-0.2675506,0.250512183,-0.04056231
-0.266249031,0.249913022,-0.0399624966
-0.262121528,0.250317037,-0.0408311859
-0.250993,0.243969664,-0.0459497645
-0.241090581,0.237954348,-0.0485853329
-0.235851049,0.239007488,-0.05019979
-0.230449289,0.240193,-0.0525242835
-0.2260428,0.240393654,-0.0540830866
-0.223467439,0.239821717,-0.0551328771
-0.221245736,0.239181951,-0.0573275164
-0.220620617,0.238094509,-0.058497563
-0.219649419,0.236132845,-0.0594157428
-0.2184313,0.233970627,-0.06079167
